"lon","lat","lat_lon_index"
250,27.5,1
250,28,2
250,28.5,3
250,29,4
250,29.5,5
250,30,6
250,30.5,7
250,31,8
250,31.5,9
250,32,10
250,32.5,11
250,33,12
250,33.5,13
250,34,14
250,34.5,15
250,35,16
250,35.5,17
250,36,18
250,36.5,19
250,37,20
250,37.5,21
250.5,27,22
250.5,27.5,23
250.5,28,24
250.5,28.5,25
250.5,29,26
250.5,29.5,27
250.5,30,28
250.5,30.5,29
250.5,31,30
250.5,31.5,31
250.5,32,32
250.5,32.5,33
250.5,33,34
250.5,33.5,35
250.5,34,36
250.5,34.5,37
250.5,35,38
250.5,35.5,39
250.5,36,40
250.5,36.5,41
250.5,37,42
250.5,37.5,43
251,25.5,44
251,26,45
251,26.5,46
251,27,47
251,27.5,48
251,28,49
251,28.5,50
251,29,51
251,29.5,52
251,30,53
251,30.5,54
251,31,55
251,31.5,56
251,32,57
251,32.5,58
251,33,59
251,33.5,60
251,34,61
251,34.5,62
251,35,63
251,35.5,64
251,36,65
251,36.5,66
251,37,67
251,37.5,68
251.5,25.5,69
251.5,26,70
251.5,26.5,71
251.5,27,72
251.5,27.5,73
251.5,28,74
251.5,28.5,75
251.5,29,76
251.5,29.5,77
251.5,30,78
251.5,30.5,79
251.5,31,80
251.5,31.5,81
251.5,32,82
251.5,32.5,83
251.5,33,84
251.5,33.5,85
251.5,34,86
251.5,34.5,87
251.5,35,88
251.5,35.5,89
251.5,36,90
251.5,36.5,91
251.5,37,92
251.5,37.5,93
252,25,94
252,25.5,95
252,26,96
252,26.5,97
252,27,98
252,27.5,99
252,28,100
252,28.5,101
252,29,102
252,29.5,103
252,30,104
252,30.5,105
252,31,106
252,31.5,107
252,32,108
252,32.5,109
252,33,110
252,33.5,111
252,34,112
252,34.5,113
252,35,114
252,35.5,115
252,36,116
252,36.5,117
252,37,118
252,37.5,119
252.5,25,120
252.5,25.5,121
252.5,26,122
252.5,26.5,123
252.5,27,124
252.5,27.5,125
252.5,28,126
252.5,28.5,127
252.5,29,128
252.5,29.5,129
252.5,30,130
252.5,30.5,131
252.5,31,132
252.5,31.5,133
252.5,32,134
252.5,32.5,135
252.5,33,136
252.5,33.5,137
252.5,34,138
252.5,34.5,139
252.5,35,140
252.5,35.5,141
252.5,36,142
252.5,36.5,143
252.5,37,144
252.5,37.5,145
253,25,146
253,25.5,147
253,26,148
253,26.5,149
253,27,150
253,27.5,151
253,28,152
253,28.5,153
253,29,154
253,29.5,155
253,30,156
253,30.5,157
253,31,158
253,31.5,159
253,32,160
253,32.5,161
253,33,162
253,33.5,163
253,34,164
253,34.5,165
253,35,166
253,35.5,167
253,36,168
253,36.5,169
253,37,170
253,37.5,171
253.5,25,172
253.5,25.5,173
253.5,26,174
253.5,26.5,175
253.5,27,176
253.5,27.5,177
253.5,28,178
253.5,28.5,179
253.5,29,180
253.5,29.5,181
253.5,30,182
253.5,30.5,183
253.5,31,184
253.5,31.5,185
253.5,32,186
253.5,32.5,187
253.5,33,188
253.5,33.5,189
253.5,34,190
253.5,34.5,191
253.5,35,192
253.5,35.5,193
253.5,36,194
253.5,36.5,195
253.5,37,196
253.5,37.5,197
254,25,198
254,25.5,199
254,26,200
254,26.5,201
254,27,202
254,27.5,203
254,28,204
254,28.5,205
254,29,206
254,29.5,207
254,30,208
254,30.5,209
254,31,210
254,31.5,211
254,32,212
254,32.5,213
254,33,214
254,33.5,215
254,34,216
254,34.5,217
254,35,218
254,35.5,219
254,36,220
254,36.5,221
254,37,222
254,37.5,223
254.5,25,224
254.5,25.5,225
254.5,26,226
254.5,26.5,227
254.5,27,228
254.5,27.5,229
254.5,28,230
254.5,28.5,231
254.5,29,232
254.5,29.5,233
254.5,30,234
254.5,30.5,235
254.5,31,236
254.5,31.5,237
254.5,32,238
254.5,32.5,239
254.5,33,240
254.5,33.5,241
254.5,34,242
254.5,34.5,243
254.5,35,244
254.5,35.5,245
254.5,36,246
254.5,36.5,247
254.5,37,248
254.5,37.5,249
255,25,250
255,25.5,251
255,26,252
255,26.5,253
255,27,254
255,27.5,255
255,28,256
255,28.5,257
255,29,258
255,29.5,259
255,30,260
255,30.5,261
255,31,262
255,31.5,263
255,32,264
255,32.5,265
255,33,266
255,33.5,267
255,34,268
255,34.5,269
255,35,270
255,35.5,271
255,36,272
255,36.5,273
255,37,274
255,37.5,275
255.5,25,276
255.5,25.5,277
255.5,26,278
255.5,26.5,279
255.5,27,280
255.5,27.5,281
255.5,28,282
255.5,28.5,283
255.5,29,284
255.5,29.5,285
255.5,30,286
255.5,30.5,287
255.5,31,288
255.5,31.5,289
255.5,32,290
255.5,32.5,291
255.5,33,292
255.5,33.5,293
255.5,34,294
255.5,34.5,295
255.5,35,296
255.5,35.5,297
255.5,36,298
255.5,36.5,299
255.5,37,300
255.5,37.5,301
256,25,302
256,25.5,303
256,26,304
256,26.5,305
256,27,306
256,27.5,307
256,28,308
256,28.5,309
256,29,310
256,29.5,311
256,30,312
256,30.5,313
256,31,314
256,31.5,315
256,32,316
256,32.5,317
256,33,318
256,33.5,319
256,34,320
256,34.5,321
256,35,322
256,35.5,323
256,36,324
256,36.5,325
256,37,326
256,37.5,327
256.5,25,328
256.5,25.5,329
256.5,26,330
256.5,26.5,331
256.5,27,332
256.5,27.5,333
256.5,28,334
256.5,28.5,335
256.5,29,336
256.5,29.5,337
256.5,30,338
256.5,30.5,339
256.5,31,340
256.5,31.5,341
256.5,32,342
256.5,32.5,343
256.5,33,344
256.5,33.5,345
256.5,34,346
256.5,34.5,347
256.5,35,348
256.5,35.5,349
256.5,36,350
256.5,36.5,351
256.5,37,352
256.5,37.5,353
257,25,354
257,25.5,355
257,26,356
257,26.5,357
257,27,358
257,27.5,359
257,28,360
257,28.5,361
257,29,362
257,29.5,363
257,30,364
257,30.5,365
257,31,366
257,31.5,367
257,32,368
257,32.5,369
257,33,370
257,33.5,371
257,34,372
257,34.5,373
257,35,374
257,35.5,375
257,36,376
257,36.5,377
257,37,378
257,37.5,379
257.5,25,380
257.5,25.5,381
257.5,26,382
257.5,26.5,383
257.5,27,384
257.5,27.5,385
257.5,28,386
257.5,28.5,387
257.5,29,388
257.5,29.5,389
257.5,30,390
257.5,30.5,391
257.5,31,392
257.5,31.5,393
257.5,32,394
257.5,32.5,395
257.5,33,396
257.5,33.5,397
257.5,34,398
257.5,34.5,399
257.5,35,400
257.5,35.5,401
257.5,36,402
257.5,36.5,403
257.5,37,404
257.5,37.5,405
258,25,406
258,25.5,407
258,26,408
258,26.5,409
258,27,410
258,27.5,411
258,28,412
258,28.5,413
258,29,414
258,29.5,415
258,30,416
258,30.5,417
258,31,418
258,31.5,419
258,32,420
258,32.5,421
258,33,422
258,33.5,423
258,34,424
258,34.5,425
258,35,426
258,35.5,427
258,36,428
258,36.5,429
258,37,430
258,37.5,431
258.5,25,432
258.5,25.5,433
258.5,26,434
258.5,26.5,435
258.5,27,436
258.5,27.5,437
258.5,28,438
258.5,28.5,439
258.5,29,440
258.5,29.5,441
258.5,30,442
258.5,30.5,443
258.5,31,444
258.5,31.5,445
258.5,32,446
258.5,32.5,447
258.5,33,448
258.5,33.5,449
258.5,34,450
258.5,34.5,451
258.5,35,452
258.5,35.5,453
258.5,36,454
258.5,36.5,455
258.5,37,456
258.5,37.5,457
259,25,458
259,25.5,459
259,26,460
259,26.5,461
259,27,462
259,27.5,463
259,28,464
259,28.5,465
259,29,466
259,29.5,467
259,30,468
259,30.5,469
259,31,470
259,31.5,471
259,32,472
259,32.5,473
259,33,474
259,33.5,475
259,34,476
259,34.5,477
259,35,478
259,35.5,479
259,36,480
259,36.5,481
259,37,482
259,37.5,483
259.5,25,484
259.5,25.5,485
259.5,26,486
259.5,26.5,487
259.5,27,488
259.5,27.5,489
259.5,28,490
259.5,28.5,491
259.5,29,492
259.5,29.5,493
259.5,30,494
259.5,30.5,495
259.5,31,496
259.5,31.5,497
259.5,32,498
259.5,32.5,499
259.5,33,500
259.5,33.5,501
259.5,34,502
259.5,34.5,503
259.5,35,504
259.5,35.5,505
259.5,36,506
259.5,36.5,507
259.5,37,508
259.5,37.5,509
260,25,510
260,25.5,511
260,26,512
260,26.5,513
260,27,514
260,27.5,515
260,28,516
260,28.5,517
260,29,518
260,29.5,519
260,30,520
260,30.5,521
260,31,522
260,31.5,523
260,32,524
260,32.5,525
260,33,526
260,33.5,527
260,34,528
260,34.5,529
260,35,530
260,35.5,531
260,36,532
260,36.5,533
260,37,534
260,37.5,535
260.5,25,536
260.5,25.5,537
260.5,26,538
260.5,26.5,539
260.5,27,540
260.5,27.5,541
260.5,28,542
260.5,28.5,543
260.5,29,544
260.5,29.5,545
260.5,30,546
260.5,30.5,547
260.5,31,548
260.5,31.5,549
260.5,32,550
260.5,32.5,551
260.5,33,552
260.5,33.5,553
260.5,34,554
260.5,34.5,555
260.5,35,556
260.5,35.5,557
260.5,36,558
260.5,36.5,559
260.5,37,560
260.5,37.5,561
261,25,562
261,25.5,563
261,26,564
261,26.5,565
261,27,566
261,27.5,567
261,28,568
261,28.5,569
261,29,570
261,29.5,571
261,30,572
261,30.5,573
261,31,574
261,31.5,575
261,32,576
261,32.5,577
261,33,578
261,33.5,579
261,34,580
261,34.5,581
261,35,582
261,35.5,583
261,36,584
261,36.5,585
261,37,586
261,37.5,587
261.5,25,588
261.5,25.5,589
261.5,26,590
261.5,26.5,591
261.5,27,592
261.5,27.5,593
261.5,28,594
261.5,28.5,595
261.5,29,596
261.5,29.5,597
261.5,30,598
261.5,30.5,599
261.5,31,600
261.5,31.5,601
261.5,32,602
261.5,32.5,603
261.5,33,604
261.5,33.5,605
261.5,34,606
261.5,34.5,607
261.5,35,608
261.5,35.5,609
261.5,36,610
261.5,36.5,611
261.5,37,612
261.5,37.5,613
262,25,614
262,25.5,615
262,26,616
262,26.5,617
262,27,618
262,27.5,619
262,28,620
262,28.5,621
262,29,622
262,29.5,623
262,30,624
262,30.5,625
262,31,626
262,31.5,627
262,32,628
262,32.5,629
262,33,630
262,33.5,631
262,34,632
262,34.5,633
262,35,634
262,35.5,635
262,36,636
262,36.5,637
262,37,638
262,37.5,639
262.5,25.5,640
262.5,26,641
262.5,26.5,642
262.5,27.5,643
262.5,28,644
262.5,28.5,645
262.5,29,646
262.5,29.5,647
262.5,30,648
262.5,30.5,649
262.5,31,650
262.5,31.5,651
262.5,32,652
262.5,32.5,653
262.5,33,654
262.5,33.5,655
262.5,34,656
262.5,34.5,657
262.5,35,658
262.5,35.5,659
262.5,36,660
262.5,36.5,661
262.5,37,662
262.5,37.5,663
263,28.5,664
263,29,665
263,29.5,666
263,30,667
263,30.5,668
263,31,669
263,31.5,670
263,32,671
263,32.5,672
263,33,673
263,33.5,674
263,34,675
263,34.5,676
263,35,677
263,35.5,678
263,36,679
263,36.5,680
263,37,681
263,37.5,682
263.5,29,683
263.5,29.5,684
263.5,30,685
263.5,30.5,686
263.5,31,687
263.5,31.5,688
263.5,32,689
263.5,32.5,690
263.5,33,691
263.5,33.5,692
263.5,34,693
263.5,34.5,694
263.5,35,695
263.5,35.5,696
263.5,36,697
263.5,36.5,698
263.5,37,699
263.5,37.5,700
264,29,701
264,29.5,702
264,30,703
264,30.5,704
264,31,705
264,31.5,706
264,32,707
264,32.5,708
264,33,709
264,33.5,710
264,34,711
264,34.5,712
264,35,713
264,35.5,714
264,36,715
264,36.5,716
264,37,717
264,37.5,718
264.5,29,719
264.5,29.5,720
264.5,30,721
264.5,30.5,722
264.5,31,723
264.5,31.5,724
264.5,32,725
264.5,32.5,726
264.5,33,727
264.5,33.5,728
264.5,34,729
264.5,34.5,730
264.5,35,731
264.5,35.5,732
264.5,36,733
264.5,36.5,734
264.5,37,735
264.5,37.5,736
265,29.5,737
265,30,738
265,30.5,739
265,31,740
265,31.5,741
265,32,742
265,32.5,743
265,33,744
265,33.5,745
265,34,746
265,34.5,747
265,35,748
265,35.5,749
265,36,750
265,36.5,751
265,37,752
265,37.5,753
265.5,30,754
265.5,30.5,755
265.5,31,756
265.5,31.5,757
265.5,32,758
265.5,32.5,759
265.5,33,760
265.5,33.5,761
265.5,34,762
265.5,34.5,763
265.5,35,764
265.5,35.5,765
265.5,36,766
265.5,36.5,767
265.5,37,768
265.5,37.5,769
266,30,770
266,30.5,771
266,31,772
266,31.5,773
266,32,774
266,32.5,775
266,33,776
266,33.5,777
266,34,778
266,34.5,779
266,35,780
266,35.5,781
266,36,782
266,36.5,783
266,37,784
266,37.5,785
266.5,30,786
266.5,30.5,787
266.5,31,788
266.5,31.5,789
266.5,32,790
266.5,32.5,791
266.5,33,792
266.5,33.5,793
266.5,34,794
266.5,34.5,795
266.5,35,796
266.5,35.5,797
266.5,36,798
266.5,36.5,799
266.5,37,800
266.5,37.5,801
267,30,802
267,30.5,803
267,31,804
267,31.5,805
267,32,806
267,32.5,807
267,33,808
267,33.5,809
267,34,810
267,34.5,811
267,35,812
267,35.5,813
267,36,814
267,36.5,815
267,37,816
267,37.5,817
267.5,30,818
267.5,30.5,819
267.5,31,820
267.5,31.5,821
267.5,32,822
267.5,32.5,823
267.5,33,824
267.5,33.5,825
267.5,34,826
267.5,34.5,827
267.5,35,828
267.5,35.5,829
267.5,36,830
267.5,36.5,831
267.5,37,832
267.5,37.5,833
268,30,834
268,30.5,835
268,31,836
268,31.5,837
268,32,838
268,32.5,839
268,33,840
268,33.5,841
268,34,842
268,34.5,843
268,35,844
268,35.5,845
268,36,846
268,36.5,847
268,37,848
268,37.5,849
268.5,30,850
268.5,30.5,851
268.5,31,852
268.5,31.5,853
268.5,32,854
268.5,32.5,855
268.5,33,856
268.5,33.5,857
268.5,34,858
268.5,34.5,859
268.5,35,860
268.5,35.5,861
268.5,36,862
268.5,36.5,863
268.5,37,864
268.5,37.5,865
269,29.5,866
269,30,867
269,30.5,868
269,31,869
269,31.5,870
269,32,871
269,32.5,872
269,33,873
269,33.5,874
269,34,875
269,34.5,876
269,35,877
269,35.5,878
269,36,879
269,36.5,880
269,37,881
269,37.5,882
269.5,29.5,883
269.5,30,884
269.5,30.5,885
269.5,31,886
269.5,31.5,887
269.5,32,888
269.5,32.5,889
269.5,33,890
269.5,33.5,891
269.5,34,892
269.5,34.5,893
269.5,35,894
269.5,35.5,895
269.5,36,896
269.5,36.5,897
269.5,37,898
269.5,37.5,899
270,29.5,900
270,30,901
270,30.5,902
270,31,903
270,31.5,904
270,32,905
270,32.5,906
270,33,907
270,33.5,908
270,34,909
270,34.5,910
270,35,911
270,35.5,912
270,36,913
270,36.5,914
270,37,915
270,37.5,916
